name,country,lat,lon
Colombo,LK,6.9271,79.8612
Yangon,MM,16.8409,96.1735
Bangkok,TH,13.7563,100.5018
Phnom Penh,KH,11.5564,104.9282
Hanoi,VN,21.0278,105.8342
Ho Chi Minh City,VN,10.8231,106.6297
Kuala Lumpur,MY,3.139,101.6869
Singapore,SG,1.3521,103.8198
Jakarta,ID,-6.2088,106.8456
Manila,PH,14.5995,120.9842
Hong Kong,HK,22.3193,114.1694
Taipei,TW,25.033,121.5654
Seoul,KR,37.5665,126.978
Busan,KR,35.1796,129.0756
Tokyo,JP,35.6762,139.6503
Osaka,JP,34.6937,135.5023
Kyoto,JP,35.0116,135.7681
Nagoya,JP,35.1815,136.9066
Sapporo,JP,43.0618,141.3545
Beijing,CN,39.9042,116.4074
Shanghai,CN,31.2304,121.4737
Guangzhou,CN,23.1291,113.2644
Shenzhen,CN,22.5431,114.0579
Chengdu,CN,30.5728,104.0668
Chongqing,CN,29.563,106.5516
Wuhan,CN,30.5928,114.3055
Xi'an,CN,34.3416,108.9398
Nanjing,CN,32.0603,118.7969
Hangzhou,CN,30.2741,120.1551
Sydney,AU,-33.8688,151.2093
Melbourne,AU,-37.8136,144.9631
Brisbane,AU,-27.4698,153.0251
Perth,AU,-31.9505,115.8605
Adelaide,AU,-34.9285,138.6007
Canberra,AU,-35.2809,149.13
Auckland,NZ,-36.8509,174.7645
Wellington,NZ,-41.2866,174.7756
Christchurch,NZ,-43.5321,172.6362
Buenos Aires,AR,-34.6037,-58.3816
Cordoba,AR,-31.4201,-64.1888
Santiago,CL,-33.4489,-70.6693
Lima,PE,-12.0464,-77.0428
Bogota,CO,4.711,-74.0721
Medellin,CO,6.2442,-75.5812
Caracas,VE,10.4806,-66.9036
Quito,EC,-0.1807,-78.4678
Guayaquil,EC,-2.17,-79.9224
La Paz,BO,-16.4897,-68.1193
Santa Cruz,BO,-17.7833,-63.1821
Asuncion,PY,-25.2637,-57.5759
Montevideo,UY,-34.9011,-56.1645
Rio de Janeiro,BR,-22.9068,-43.1729
Sao Paulo,BR,-23.5505,-46.6333
Brasilia,BR,-15.8267,-47.9218
Salvador,BR,-12.9777,-38.5016
Fortaleza,BR,-3.7172,-38.5433
Recife,BR,-8.0476,-34.877
Mexico City,MX,19.4326,-99.1332
Guadalajara,MX,20.6597,-103.3496
Monterrey,MX,25.6866,-100.3161
Puebla,MX,19.0414,-98.2063
Guatemala City,GT,14.6349,-90.5069
San Jose,CR,9.9281,-84.0907
Panama City,PA,8.9824,-79.5199
Havana,CU,23.1136,-82.3666
Santo Domingo,DO,18.4861,-69.9312
San Juan,PR,18.4655,-66.1057
Kingston,JM,18.0179,-76.8099
Port-au-Prince,HT,18.5944,-72.3074
Toronto,CA,43.6532,-79.3832
Montreal,CA,45.5017,-73.5673
Vancouver,CA,49.2827,-123.1207
Calgary,CA,51.0447,-114.0719
Edmonton,CA,53.5461,-113.4938
Ottawa,CA,45.4215,-75.6972
Winnipeg,CA,49.8951,-97.1384
Quebec City,CA,46.8139,-71.208
Halifax,CA,44.6488,-63.5752
Reykjavik,IS,64.1466,-21.9426
